id,split,v1_orig_mean,v1_orig_std,v1_orig_min,v1_orig_max,v1_orig_entropy,v1_clahe_mean,v1_clahe_std,v1_clahe_min,v1_clahe_max,v1_clahe_entropy,v1_delta_mean,v1_delta_std,v1_delta_entropy,v2_orig_mean,v2_orig_std,v2_orig_min,v2_orig_max,v2_orig_entropy,v2_clahe_mean,v2_clahe_std,v2_clahe_min,v2_clahe_max,v2_clahe_entropy,v2_delta_mean,v2_delta_std,v2_delta_entropy
CXR2384_IM-0942,train,149.95966331845239,43.63709443353133,4,227,7.212939602096852,146.21357421875,49.89019081157425,3,247,7.387891289905259,-3.746089099702374,6.253096378042919,0.17495168780840675,151.63957018729968,41.48675895029252,1,231,7.080458520336542,145.58225661057693,45.69785405092489,2,240,7.379037189701641,-6.057313576722748,4.21109510063237,0.29857866936509936
CXR2926_IM-1328,train,118.1098403930664,60.90033450906152,0,255,7.4543904623430395,117.53715515136719,63.721967812785664,3,255,7.553676608836595,-0.5726852416992188,2.8216333037241412,0.09928614649355527,75.91822939835409,74.72955430688796,0,254,5.81153971647775,80.22138428603203,75.67968007947455,2,254,5.91974802479894,4.303154887677948,0.9501257725865884,0.10820830832119022
CXR1451_IM-0291,train,170.20413411458333,60.4321099973763,0,255,7.640887760081344,153.8259300595238,61.68510468607485,0,255,7.695353286756099,-16.378204055059513,1.25299468869855,0.054465526674754905,161.85820124699518,74.82763846283231,0,255,7.388611201056177,150.47596153846155,69.86341376292097,2,255,7.568983241947841,-11.382239708533632,-4.964224699911341,0.1803720408916636
CXR2887_IM-1289,train,106.50677108764648,75.02152431566896,0,255,7.1093008770766755,111.25912475585938,72.95180692607858,2,255,7.114854249697235,4.752353668212891,-2.06971738959038,0.005553372620559216,100.46555129716981,82.59830977813242,0,255,6.438935504796458,101.39587632665095,78.61906094425152,2,255,6.474775878744483,0.9303250294811392,-3.9792488338809022,0.03584037394802486
CXR1647_IM-0424,train,120.63225535857372,48.74138242842678,0,218,6.984552486645844,126.6993877704327,53.7114438816528,2,241,7.3715700891713425,6.067132411858978,4.970061453226016,0.3870176025254981,121.94267578125,27.199003652439785,24,255,6.661094749310351,127.83602585565477,38.626906370768516,11,255,7.126496338447582,5.893350074404765,11.427902718328731,0.4654015891372314
CXR2434_IM-0976,train,121.56312003968254,64.91219661269211,0,242,7.396238358481209,121.73265826512896,66.43700530494364,2,247,7.4787775009946245,0.1695382254464164,1.5248086922515256,0.08253914251341588,119.21677737624792,72.11561910162357,0,236,7.342960885642362,119.53529599105657,71.14375792238305,2,246,7.436926791653447,0.31851861480865296,-0.9718611792405198,0.09396590601108556
CXR3655_IM-1817,train,137.20294363839287,61.200563228108216,0,255,7.813530299215895,135.74300130208334,60.50925538151596,2,255,7.744439912595663,-1.459942336309524,-0.6913078465922524,-0.06909038662023193,162.42247596153845,65.13549819522107,0,255,7.6133260313977775,150.96278733473557,64.54061322738903,2,255,7.6769810796117754,-11.459688626802887,-0.5948849678320443,0.06365504821399792
CXR3299_IM-1575,train,161.6011951264881,63.62214828562396,0,255,7.536820648172581,150.91652250744048,64.2771303145297,2,255,7.655152826543134,-10.684672619047632,0.6549820289057422,0.11833217837055265,109.1702160957532,38.5770031120738,0,255,6.245606507911096,118.69618577223558,41.201515691870306,0,255,6.690450270434244,9.525969676482376,2.6245125797965088,0.4448437625231483
CXR1419_IM-0267,train,142.718364006917,69.85533461280892,0,255,7.521828325015954,138.62885993083003,67.25362542883676,3,255,7.46527641737321,-4.089504076086968,-2.6017091839721616,-0.05655190764274387,114.22859469888664,71.69300771858029,0,255,7.326556095892035,117.02087550607287,68.5299742130617,2,255,7.275440996439087,2.7922808071862306,-3.163033505518584,-0.051115099452947454
CXR2867_IM-1274,train,104.3766678815923,81.78071688623734,0,250,7.009311662681428,106.28374191810344,79.88887060069627,3,253,7.093294561039068,1.9070740365111476,-1.891846285541078,0.08398289835763961,84.63935470581055,78.93235701003127,0,247,6.587084804571715,88.40185165405273,75.68017211875353,0,252,6.95897997824603,3.7624969482421875,-3.252184891277736,0.37189517367431524
CXR177_IM-0503,train,156.25997488839286,60.376822007403256,0,255,7.698207512522986,152.31692708333333,63.33076996834457,2,255,7.668789024268152,-3.9430478050595354,2.9539479609413135,-0.02941848825483362,140.02102113381412,60.778737414441764,0,222,7.051148009507719,139.30176720252405,58.608196117739986,0,239,7.337962386607486,-0.7192539312900692,-2.170541296701778,0.2868143770997671
CXR3597_IM-1775,train,137.60593032836914,73.32161631694636,0,255,7.34903148174521,132.8572654724121,74.1281324963596,2,255,7.4582783228523395,-4.748664855957031,0.8065161794132365,0.10924684110712946,87.88099670410156,80.24384333142257,0,255,6.1225498675167005,90.578369140625,79.24951263143998,0,255,6.208752021665639,2.6973724365234375,-0.9943306999825836,0.08620215414893817
CXR2365_IM-0927,train,96.51082229614258,81.56390794255624,0,255,6.704791984935635,100.1663589477539,78.1011578142231,2,255,7.198441341458775,3.655536651611328,-3.462750128333141,0.49364935652313946,150.6160545349121,67.35455009855833,0,255,7.695866257846212,144.95501708984375,69.13513913732514,2,255,7.687646888950921,-5.661037445068359,1.7805890387668057,-0.008219368895290735
CXR718_IM-2280,train,136.37900924682617,63.66347398733886,0,242,7.473790161047894,135.51384735107422,65.96476260782812,2,250,7.562289304350246,-0.8651618957519531,2.3012886204892595,0.08849914330235187,112.17220242446393,72.99965899596886,0,243,6.924122808995155,114.81345181530214,72.35353363496031,2,248,6.9674750626055815,2.6412493908382118,-0.6461253610085436,0.043352253610426494
CXR229_IM-0873,train,103.10639572143555,73.78382644819543,0,255,7.210035217862552,111.0376091003418,74.86995011845471,2,255,7.595923208485295,7.93121337890625,1.0861236702592834,0.38588799062274237,96.49186325073242,88.13760144425606,0,255,5.738101256341631,97.06209182739258,84.64878716749269,2,255,6.810986201714773,0.5702285766601562,-3.488814276763378,1.0728849453731417
CXR1237_IM-0159,train,122.31943130493164,56.32530159294493,0,244,7.421994445225704,124.2409782409668,59.88201430496919,2,249,7.561023301637792,1.9215469360351562,3.5567127120242574,0.13902885641208762,102.76469581377152,75.89655802470527,0,242,6.759248353719656,102.28003961267606,73.31876449065564,3,247,6.8452944347875855,-0.48465620109546137,-2.5777935340496327,0.08604608106792977
CXR2704_IM-1171,train,125.94890975952148,75.20776567813225,0,254,7.187207176243454,123.85318756103516,74.35271846561433,2,254,7.27038010650252,-2.095722198486328,-0.8550472125179169,0.08317293025906558,100.64602875203916,79.90962833944272,0,255,6.748789216495307,101.1777407473491,77.46055341924219,2,255,6.829717182682603,0.5317119953099478,-2.4490749202005304,0.08092796618729547
CXR1324_IM-0209,train,109.86113739013672,64.71064879631056,0,252,7.368524614492145,114.95296478271484,67.52220201385727,2,254,7.430683055296738,5.091827392578125,2.8115532175467024,0.062158440804592985,62.40552520751953,70.74438223051467,0,255,5.2420739133215815,69.31017684936523,72.6943918232174,2,255,5.385965709454345,6.904651641845703,1.9500095927027274,0.14389179613276326
